"","id","year","Dept","treatment","profit","size","wageindex"
"1",110003,2003,"M5",0,4926,164,0.675813842863242
"2",110003,2004,"M5",0,5194,141,0.820107043909422
"3",110003,2005,"M5",0,5347,152,1.19443357989786
"4",110003,2006,"M5",0,5502,152,0.63270262834518
"5",110003,2007,"M5",0,5814,126,0.932007355345394
"6",110003,2008,"M5",0,6051,121,1.23219390650325
"7",110003,2009,"M5",0,5587,121,0.72258000924361
"8",110003,2010,"M5",0,5257,113,1.24249529565294
"9",110003,2011,"M5",0,6063,124,1.09291343349469
"10",110003,2012,"M5",0,6633,124,0.657019390733826
"11",110003,2013,"M5",0,5776,124,1.28168508256691
"12",110003,2014,"M5",0,5995,142,1.02739133969861
"13",110003,2015,"M5",0,5906,142,1.33073433797214
"14",110003,2016,"M5",0,5791,142,0.402702007802707
"15",110003,2017,"M5",0,5630,142,1.45481053052915
"16",110173,2003,"M5",0,3428,117,0.833519108274283
"17",110173,2004,"M5",0,3105,117,0.833788313767475
"18",110173,2005,"M5",0,3552,105,1.1968757312744
"19",110173,2006,"M5",0,3080,105,1.12117235221941
"20",110173,2007,"M5",0,2665,105,0.989867234707217
"21",110173,2008,"M5",0,2639,105,0.891121779164776
"22",110173,2009,"M5",0,3356,105,0.699564628084284
"23",110173,2010,"M5",0,2886,105,0.68823428147193
"24",110173,2011,"M5",0,2743,105,0.97950703401224
"25",110173,2012,"M5",0,2443,105,1.30320054971789
"26",110173,2013,"M5",0,2249,105,1.62662080791154
"27",110173,2014,"M5",0,2311,105,1.44543003019578
"28",110173,2015,"M5",0,2107,105,0.75381563325889
"29",110173,2016,"M5",0,2040,105,0.582252182626229
"30",110173,2017,"M5",0,1969,105,1.50463905405491
"31",110200,2003,"M5",0,3361,115,0.768204843476005
"32",110200,2004,"M5",0,3152,115,1.00051157131229
"33",110200,2005,"M5",0,3339,105,0.614811066426304
"34",110200,2006,"M5",0,3245,105,0.823127759987606
"35",110200,2007,"M5",0,3128,99,0.822213790108033
"36",110200,2008,"M5",0,2897,99,0.541365294924937
"37",110200,2009,"M5",0,2794,99,0.559140466395699
"38",110200,2010,"M5",0,2912,99,1.04302873578497
"39",110200,2011,"M5",0,2821,99,0.904892214135876
"40",110200,2012,"M5",0,2719,99,0.503738421169666
"41",110200,2013,"M5",0,2784,99,0.622181236357075
"42",110200,2014,"M5",0,2606,99,0.522449943586863
